,8-1,8-2,8-3,8-4,8-5,8-6,8-7,8-8,8-9,8-10,8-11,8-12,8-13,8-14,8-15,8-16,8-17
Club All-Time Avg B+ Mid,,,39114579.0,38761103.5,38568999.0,38113184.25,37592457.4,37283585.5,37077566.14285714,37022181.75,36869889.11111111,36822127.3,36735588.45454545,36580001.916666664,36404978.615384616,36261946.14285714,36144314.06666667
Club All-Time Avg B+ Floor,,,29634357.0,28913779.5,28540059.333333332,27809706.0,27403940.0,27153681.5,26926604.85714286,26762741.0,26682750.111111112,26614776.5,26485273.181818184,26339153.083333332,26247500.384615384,26008953.42857143,25907640.533333335
Club All-Time Avg B Mid,,,23256316.0,22840765.5,22594702.0,22186238.5,21834201.8,21613214.333333332,21423472.14285714,21273947.375,21093022.0,21018843.9,20964216.09090909,20876157.75,20779438.923076924,20680478.785714287,20580997.933333334
Club All-Time Avg B Floor,,,18130378.0,18007185.5,18173996.333333332,17796514.5,17607480.8,17425855.666666668,17331921.42857143,17127811.5,16933935.444444444,16925765.4,16907977.454545453,16860920.5,16733504.538461538,16549611.57142857,16419481.066666666
Club 3-Day Avg SS Mid,,,492287808.0,486675825.5,485189202.6666667,473570886.0,470255789.0,467604641.3333333,467933818.3333333,468607420.3333333,461655393.0,455643030.6666667,453180235.3333333,454752178.0,465750837.0,460937653.3333333,465815994.6666667
Club 3-Day Avg SS Floor,,,449777044.0,448103903.5,450574097.3333333,447878624.3333333,447643774.6666667,450864880.0,454878883.3333333,453133580.0,439928064.3333333,420008752.3333333,408727987.3333333,416614553.0,420960875.0,421218875.6666667,407484800.3333333
Club 3-Day Avg S+ Mid,,,395131296.0,387371162.5,388727178.3333333,386645681.6666667,393625562.3333333,388373009.3333333,389622724.0,383186569.0,387548202.6666667,380492443.0,374367473.3333333,370524113.0,367775855.0,369456472.6666667,363805996.0
Club 3-Day Avg S+ Floor,,,369347837.0,372796572.5,372365950.0,373838413.6666667,366947315.0,362398135.6666667,356234978.3333333,359182364.3333333,363087267.6666667,360017448.6666667,349499106.0,342940955.3333333,347704453.3333333,353454623.3333333,346782327.0
Club 3-Day Avg S Mid,,,297476584.0,294901372.5,294047559.0,291577550.3333333,291937500.6666667,286964744.0,285750760.0,286815555.3333333,292506672.0,291995784.6666667,285772608.0,279765654.6666667,278440618.3333333,278384677.3333333,279735574.0
Club 3-Day Avg S Floor,,,272821346.0,268733047.0,269027532.0,269163976.0,269627051.6666667,263902011.0,260150215.66666666,263939736.33333334,269329548.6666667,271129554.6666667,268232809.33333334,266612385.0,271953815.3333333,271778229.0,275100843.3333333
Club 3-Day Avg A+ Mid,,,160879152.0,161381515.5,160380153.0,158012473.33333334,154077012.66666666,150986314.0,150361619.0,152950859.0,155738877.33333334,155867947.33333334,152387718.33333334,148210733.66666666,145447552.33333334,144691700.66666666,145532560.33333334
Club 3-Day Avg A+ Floor,,,128425841.0,128500757.0,130282814.33333333,131782433.66666667,131875890.66666667,129829535.66666667,130601260.33333333,134612424.33333334,136667008.66666666,136207789.0,132322282.33333333,130410907.33333333,127344263.66666667,126912189.33333333,129745617.33333333
Club 3-Day Avg A Mid,,,101568902.0,102000937.0,101921558.0,101072131.33333333,98611743.33333333,95547722.66666667,94613154.66666667,95995142.0,98646610.33333333,99735762.33333333,97889433.0,95242092.66666667,92734423.0,92336359.66666667,92477752.0
Club 3-Day Avg A Floor,,,79650967.0,79236206.5,79182719.66666667,78371292.33333333,78714515.0,77884866.66666667,78503799.0,78835484.33333333,80794705.0,81058745.0,80106297.33333333,77913248.66666667,76209678.33333333,75052169.66666667,75780854.33333333
Club 3-Day Avg B+ Mid,,,39114579.0,38761103.5,38568999.0,37779386.0,36813360.0,35998172.0,35696742.0,36071722.333333336,36042496.333333336,36226103.333333336,35971339.666666664,35710340.333333336,35014483.0,34525257.666666664,34401562.666666664
Club 3-Day Avg B+ Floor,,,29634357.0,28913779.5,28540059.333333332,27201489.0,26397380.333333332,25767303.666666668,25749136.666666668,25694076.0,25740887.333333332,25887177.0,25745359.0,25308362.0,25023246.666666668,24262447.666666668,24181590.333333332
Club 3-Day Avg B Mid,,,23256316.0,22840765.5,22594702.0,21829546.0,21163159.333333332,20631726.666666668,20406450.333333332,20340190.0,20052637.333333332,20074711.333333332,20138266.0,20225565.0,19981422.333333332,19640108.666666668,19400358.666666668
Club 3-Day Avg B Floor,,,18130378.0,18007185.5,18173996.333333332,17685226.666666668,17341011.0,16677715.0,16712464.0,16328362.666666666,15950095.0,15978068.0,16321753.333333334,16641875.666666666,16092635.0,15235603.333333334,14653723.333333334
Indiv Day-to-Day SS Mid,,,16409593.6,16035461.433333334,16073865.233333332,15247761.933333334,15703951.733333332,15808750.466666667,15280679.633333333,15771311.933333334,15113547.733333332,14679443.4,15525032.4,15270742.0,15779309.3,15043714.033333333,15758576.133333333
Indiv Day-to-Day SS Floor,,,14992568.133333333,14881025.433333334,15183816.166666666,14723020.833333334,14857540.466666667,15505926.7,15124421.166666666,14683010.133333333,14185375.133333333,13132489.966666667,13554933.633333333,14974031.7,13567122.166666666,13580733.7,13600624.166666666
Indiv Day-to-Day S+ Mid,,,13171043.2,12653700.966666667,13047973.666666666,12962893.533333333,13351689.033333333,12522718.366666667,13087865.0,12708073.533333333,12958881.733333332,12382289.033333333,12095576.566666666,12574545.7,12107463.233333332,12263638.333333334,12009498.033333333
Indiv Day-to-Day S+ Floor,,,12311594.566666666,12541510.266666668,12383490.166666666,12458840.933333334,11852400.4,11928572.233333332,11842525.2,12147139.0,12319062.566666666,11535543.3,11095304.733333332,11663247.5,12011893.1,11670321.733333332,10996017.866666667
Indiv Day-to-Day S Mid,,,9915886.133333333,9744205.366666667,9744664.4,9668885.266666668,9780200.4,9247388.733333332,9547486.866666667,9886679.933333334,9816500.4,9496398.133333333,9264362.266666668,9215805.066666666,9363894.5,9258768.166666666,9350894.733333332
Indiv Day-to-Day S Floor,,,9094044.866666667,8821491.6,8987216.733333332,9107689.266666668,8867799.166666666,8414712.666666666,8732509.733333332,9246751.233333332,8953693.9,8912510.333333334,8957076.7,8791651.466666667,9446653.366666667,8939518.066666666,9123912.9
Indiv Day-to-Day A+ Mid,,,5362638.4,5396129.3,5279247.6,5125870.433333334,5002583.233333333,4970177.733333333,5063400.933333334,5261507.233333333,5248979.566666666,5076307.933333334,4913484.333333333,4831281.1,4799989.8,4837899.166666667,4915367.066666666
Indiv Day-to-Day A+ Floor,,,4280861.366666666,4285855.766666667,4461564.3,4430823.3,4295201.466666667,4256928.8,4507995.766666667,4696317.866666666,4462387.233333333,4462073.8,4307767.2,4271249.733333333,4155409.433333333,4264559.766666667,4554592.533333333
Indiv Day-to-Day A Mid,,,3385630.066666667,3414432.4,3392093.3333333335,3300687.4,3168393.6,3085691.2666666666,3207230.6,3306592.3333333335,3350838.1,3316145.8,3121959.4,3086104.066666667,3065378.8333333335,3082153.066666667,3100243.3
Indiv Day-to-Day A Floor,,,2655032.2333333334,2627381.533333333,2635858.2,2573889.5,2661703.8,2552893.3666666667,2635782.7333333334,2694872.3333333335,2748815.433333333,2662186.7333333334,2599627.566666667,2529510.566666667,2491829.7,2483876.7,2602379.033333333
Indiv Day-to-Day B+ Mid,,,1303819.3,1280254.2666666666,1272826.3333333333,1224858.0,1183651.6666666667,1191307.5333333334,1194715.0,1221149.7,1188384.9333333333,1213075.7,1195673.3333333333,1162285.0,1143489.9666666666,1146750.8,1149915.5
Indiv Day-to-Day B+ Floor,,,987811.9,939773.4,926420.6333333333,853954.8666666667,859362.5333333333,863412.9666666667,852138.1666666666,853856.4666666667,868094.1,866767.1333333333,839674.6666666666,824394.4,838255.6,763594.7666666667,816308.6666666666
